firm,last_available_year,date_of_incorporation
FISERV INC,2020,19/02/1992
WAYFAIR INC.,2020,08/08/2014
"HENRY SCHEIN, INC.",2020,23/12/1992
LAM RESEARCH CORP,2020,08/09/1989
"J.B. HUNT TRANSPORT SERVICES, INC.",2020,10/09/1961
QUEST DIAGNOSTICS INCORPORATED,2020,20/09/1996
LIBERTY MEDIA CORPORATION,2020,2010
RYDER SYSTEM INC,2020,22/03/1955
RAYMOND JAMES FINANCIAL INC,2020,13/05/1994
"ACTIVISION BLIZZARD, INC.",2020,17/02/2000
INTUIT INC,2020,01/02/1993
BOOZ ALLEN HAMILTON HOLDING CORPORATION,2019,12/05/2008
"MOTOROLA SOLUTIONS, INC.",2020,09/03/1973
NORTHERN TRUST CORPORATION,2020,01/12/1971
"FORTUNE BRANDS HOME & SECURITY, INC.",2020,09/06/1988
"T. ROWE PRICE GROUP, INC",2020,1937
CACI INTERNATIONAL INC,2020,08/10/1985
ELECTRONIC ARTS INC,2019,08/05/1991
CERNER CORP,2020,06/10/1986
ROBERT HALF INTERNATIONAL INC.,2020,18/10/1979
SIMON PROPERTY GROUP INC,2020,10/03/1998
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2020,06/12/2006
JUNIPER NETWORKS INC,2020,10/09/1997
APACHE CORP,2020,07/01/2021
"WORKDAY, INC.",2020,16/03/2012
LEGGETT & PLATT INC,2020,23/02/1901
GARTNER INC,2020,01/06/1990
AUTODESK INC,2020,10/05/1994
CIENA CORP,2020,02/11/1992
STEELCASE INC.,2020,16/03/1912
