"firmhash","firm","url","ranking","industry","sector","include","ranklabel"
16364679,"Autodesk","https://www.autodesk.com",737,"Computer Software","Technology",True,"501-1000"
56410840,"Steelcase","https://www.steelcase.com",706,"Home Equipment, Furnishings","Household Products",True,"501-1000"
51796205,"Ciena","https://www.ciena.com",684,"Network and Other Communications Equipment","Technology",True,"501-1000"
61513084,"Workday","https://www.workday.com",676,"Computer Software","Technology",True,"501-1000"
47398118,"Gartner","https://www.gartner.com",621,"Information Technology Services","Technology",True,"501-1000"
60310056,"Broadridge Financial Solutions","https://www.broadridge.com",610,"Financial Data Services","Business Services",True,"501-1000"
15981844,"Juniper Networks","https://www.juniper.net",601,"Network and Other Communications Equipment","Technology",True,"501-1000"
36074314,"Leggett & Platt","https://www.leggett.com",569,"Home Equipment, Furnishings","Household Products",True,"501-1000"
44287733,"Electronic Arts","https://www.ea.com",550,"Entertainment","Media",True,"501-1000"
41605654,"CACI International","https://www.caci.com",549,"Information Technology Services","Technology",True,"501-1000"
3572700,"T. Rowe Price","https://www.troweprice.com",504,"Securities and Asset Management","Financials",True,"501-1000"
59882969,"Cerner","https://www.cerner.com",498,"Health Care: Pharmacy and Other Services","Health Care",True,"301-500"
15738094,"Simon Property Group","https://www.simon.com",497,"Real Estate","Financials",True,"301-500"
37755086,"Fortune Brands Home & Security","https://www.fbhs.com",494,"Home Equipment, Furnishings","Household Products",True,"301-500"
92978594,"Robert Half International","https://www.roberthalf.com",482,"Diversified Outsourcing Services","Business Services",True,"301-500"
236748,"Apache","https://www.apachecorp.com",465,"Mining, Crude-Oil Production","Energy",True,"301-500"
59605839,"Activision Blizzard","https://www.activisionblizzard.com",463,"Entertainment","Media",True,"301-500"
28480392,"Booz Allen Hamilton Holding","https://www.boozallen.com",450,"Information Technology Services","Technology",True,"301-500"
81900002,"Intuit","https://www.intuit.com",445,"Computer Software","Technology",True,"301-500"
36469379,"Northern Trust","https://www.northerntrust.com",440,"Superregional Banks","Financials",True,"301-500"
78132452,"Quest Diagnostics","https://www.questdiagnostics.com",410,"Health Care: Pharmacy and Other Services","Health Care",True,"301-500"
58511130,"Motorola Solutions","https://www.motorolasolutions.com",403,"Network and Other Communications Equipment","Technology",True,"301-500"
74239827,"Raymond James Financial","https://www.raymondjames.com",396,"Securities and Asset Management","Financials",True,"301-500"
77729631,"Ryder System","https://www.ryder.com",354,"Trucking, Transportation, Logistics","Transportation",True,"301-500"
84510021,"Wayfair","https://www.wayfair.com",348,"Internet Services and Retailing","Retailing",True,"301-500"
92983493,"J.B. Hunt Transport Services","https://www.jbhunt.com",346,"Trucking, Truck Leasing","Transportation",True,"301-500"
29389813,"Jones Financial (Edward Jones)","https://www.edwardjones.com/index.html",336,"Securities and Asset Management","Financials",True,"301-500"
15561662,"Lam Research","https://www.lamresearch.com",331,"Semiconductors","Technology",True,"301-500"
31030789,"Fiserv","https://www.fiserv.com",311,"Financial Data Services","Business Services",True,"301-500"
75178419,"Liberty Media","https://www.libertymedia.com",306,"Entertainment","Media",True,"301-500"
21406197,"Henry Schein","https://www.henryschein.com",304,"Wholesalers: Health Care","Health Care",True,"301-500"
