"firmhash","last_available_year","csr_index"
"24788477",2018,0.0238053773
"20885145",2018,0.0045374379
"81079250",2018,0.0719247759
"31897534",2018,0.066709238
"78271153",2018,0.036071166
"83800849",2018,0.0285271986
"61173779",2018,0.0092075655
"41405358",2018,0.0567829361
"1132045",2018,0.0307475411
"77223592",2018,0.0464917373
"56444265",2018,0.0714678255
"27717375",2018,0.0228569217
"18101757",2018,-0.0370710388
"67583415",2018,-0.0109960442
"39511968",2018,0.0175193693
"83890025",2018,-0.0132048454
"4802185",2018,0.0160424505
"29810937",2018,0.0780691424
"60048308",2018,0.0092158586
"60987513",2018,0.0694581281
"20094071",2018,0.0335287743
"50861209",2018,0.0586538621
"60132111",2018,0.014410111
"29577074",2018,0.0697740956
"2313883",2018,0.027146034
"25243892",2018,0.0034233965
"44470487",2018,0.0629975176
"83534384",2018,0.0310917052
"51333781",2018,-0.0136476976
"61421604",2018,0.0206765935
"96185568",2018,0.0737058599
"26299420",2018,0.0134099617
"81280069",2018,0.0293045396
"69943097",2018,0.020492445
"44690539",2018,0.0051739066
"82902726",2018,0.0476407282
"16065958",2018,0.0462536697
"82475883",2018,0.0099788249
"70488772",2018,0.0333764575
"3894558",2018,0.0026775693
"53206828",2018,0.0097576753
"65808664",2018,0.0190067985
"10238564",2018,0.0240995063
"46807785",2018,0.0047627341
"91013737",2018,0.0632009753
"93968555",2018,0.1136123136
"99974471",2018,0.0147007016
"35646797",2018,0.0187565308
"78768752",2018,0.0015839843
"63926746",2018,0.0404692795
"42703456",2018,0.0337485921
"65966087",2018,0.0324440353
"74910338",2018,0.0281233744
"33131762",2018,0.0189962018
"71942107",2018,0.0403517938
"83192852",2018,0.0729574066
"16873180",2018,0.009124358
"56327554",2018,-0.0202020202
"95680362",2018,0.0003781659
"55529641",2018,0.0643749689
"94835721",2018,0.0141306331
"61240936",2018,-0.0011704345
"44689828",2018,0.0139885193
"24832322",2018,-0.0142786651
"78257680",2018,0.0256124981
"54218658",2018,0.0370030353
"40920640",2018,0.0235784224
"41255816",2018,0.043684519
"48682231",2018,-0.019047619
"2296999",2018,0.0350093712
"20520037",2018,0.0047113168
"18164447",2018,0.0139365743
"21731504",2018,0.0305916306
"58280832",2018,0.0265564789
"38940501",2018,0.0651473686
"28174171",2018,0.0045562356
"17231888",2018,0.0054479524
"73704178",2014,-0.0085425685
"31132966",2018,0.0271729335
"11857351",2018,0.0169790405
"17155719",2010,-0.0142857143
"40232297",2018,0.0241955682
"95830263",2018,-0.0185197791
"5107203",2018,-0.0020639186
"84482324",2018,0.0237181614
"77644806",2018,0.0578892372
"32106330",2018,0.0322969708
"35504039",2018,-0.0056222774
"85529201",2018,0.0676076584
"48599151",2018,0.056313546
"7282506",2018,0.0059262577
"99368695",2018,-0.0005423695
"36053009",2018,0.0422604535
"44365702",2018,0.0440165199
"99007911",2018,0.0204311865
"38807133",2018,0.0967446772
"92380288",2018,0.0311204296
"47744325",2011,0.0
"56495473",2018,0.138528415
"10475154",2018,0.0173903789
"85363982",2018,0.0128482416
"16922709",2018,0.0667280357
"64641415",2018,0.0375683491
"2257066",2018,0.0686489968
"45407176",2018,0.0511170822
"23104382",2018,0.0582025254
"18880252",2018,-0.0219543547
"8545348",2018,0.0275613276
"7096877",2018,0.0397450145
"49336259",2018,0.0015712682
"17151193",2018,0.001010101
"7350014",2018,0.0186677945
"76452060",2018,0.0152604314
"36433727",2012,0.0253512133
"99140308",2018,0.0350410509
"97738551",2018,0.0733116607
"40837856",2018,0.0328097615
"49656933",2018,-0.0172358506
"82017061",2018,0.0654763287
"20127012",2018,0.0333300161
"23217707",2018,0.0347309991
"32700926",2018,0.0585239367
"47955590",2018,0.0471137207
"60090966",2018,0.0137566138
"11663411",2018,0.0877939493
"1710396",2018,0.0131292642
"92536935",2018,0.0372751769
"56358397",2018,0.0922072393
"41298594",2018,0.0232339819
"3524436",2018,-0.0008230084
"4584516",2018,0.0381175492
"52654257",2018,-0.001941141
"19452525",2018,0.0077922078
"95760748",2010,-0.0396825397
"59607113",2018,0.0189403615
"59476916",2018,0.0773589756
"98041190",2018,-0.0019206847
"62824499",2018,0.0128594609
"70309399",2018,0.0239239688
"59705430",2018,0.0597559529
"26738076",2018,0.0108197465
"53578149",2018,-0.0037518038
"59306024",2018,0.0042991491
"69027748",2017,0.0569929591
"89802512",2018,0.0261872419
"72507226",2018,0.0529849674
"48056767",2018,0.0758322138
"10940099",2018,0.0207389615
"30712181",2018,0.0046126288
"47147965",2018,0.0656855915
"73347725",2018,0.0116237636
"17368181",2018,0.0548602738
"28580986",2018,0.0663542928
"52767643",2018,0.0039983353
"82435358",2018,0.0059804393
"80542798",2018,0.0269802569
"87621488",2018,0.0421994991
"52807078",2018,0.0434091714
"73624301",2018,0.0277194496
"93682208",2018,0.0224395017
"10087241",2018,0.0396664812
"69858041",2018,0.0527126769
"67426216",2018,0.0117203784
"24984086",2018,0.0473840761
"13079849",2018,-0.0078770902
"62258152",2018,0.0095628203
"27610884",2018,0.0258933064
"20859101",2018,0.0476099252
"31261614",2018,0.034169279
"43863760",2018,0.0173801507
"90987102",2018,0.0046281092
"25821083",2018,0.0465511713
"20224692",2018,0.0645121162
"97306865",2018,0.0443507323
"40335925",2018,0.0295878625
"54537981",2018,0.0678227264
"18843081",2018,0.008566508
"17081064",2018,0.0115620491
"84193247",2018,-0.0149630542
"7616789",2018,0.0395453479
"38270491",2018,0.0457042435
"69795220",2018,0.0468474328
"97012135",2018,0.0573777892
"7684579",2018,0.00103299
"79142021",2018,0.0203584046
"60549119",2018,0.0027168234
"28049975",2018,0.0337525501
"63338445",2018,-0.0036124795
"52256752",2018,-0.0056277056
"46177440",2018,0.0309379509
"31743452",2018,0.00513609
"90537930",2018,0.0046753247
"3394254",2018,0.0191053391
"97338549",2018,0.0185562522
"76661259",2018,0.0373214908
"94341056",2018,0.1082213763
"49714782",2018,0.0217893218
"9953010",2018,-0.0004329004
"85302124",2018,0.0483679156
"37791241",2018,0.0539234712
"19742213",2018,0.0
"13833149",2018,0.0122655123
"15927840",2018,-0.0142857143
"55229784",2018,-0.0142857143
"9911099",2018,0.0090909091
"83409422",2018,0.0836219336
"50025160",2018,0.0122655123
"16642056",2018,-0.0388888889
"70275980",2018,0.0181818182
"7268382",2018,0.0166492511
